timestamp,city,aqi,weather_condition,wind_speed,humidity,temperature,uv_index,pm25,pm10,o3,no2,so2,co
2025-03-13T10:48:43.850648+07:00,Hà Nội,75,Moderate rain,11 km/h,94 %,23°C,1,22 µg/m³,44 µg/m³,7 ppb,17 ppb,4 ppb,258 ppb
2025-03-13T11:14:58.894750+07:00,Hà Nội,75,Moderate rain,11 km/h,94 %,23°C,1,22 µg/m³,44 µg/m³,7 ppb,17 ppb,4 ppb,258 ppb
2025-03-13T12:12:34.669993+07:00,Hà Nội,72,Patchy light rain,13 km/h,94 %,24°C,3,20 µg/m³,42 µg/m³,7 ppb,19 ppb,5 ppb,178 ppb
2025-03-13T13:17:26.736414+07:00,Hà Nội,75,Light rain,14 km/h,94 %,24°C,3,22 µg/m³,41 µg/m³,9 ppb,23 ppb,5 ppb,167 ppb
2025-03-13T14:12:24.383028+07:00,Hà Nội,75,Light rain,14 km/h,94 %,24°C,3,22 µg/m³,41 µg/m³,9 ppb,23 ppb,5 ppb,167 ppb
2025-03-13T15:17:05.483809+07:00,Hà Nội,67,Overcast,18 km/h,94 %,24°C,2,18 µg/m³,40 µg/m³,9 ppb,17 ppb,5 ppb,150 ppb
2025-03-13T16:13:34.131113+07:00,Hà Nội,67,Overcast,18 km/h,94 %,24°C,2,18 µg/m³,40 µg/m³,9 ppb,17 ppb,5 ppb,150 ppb
2025-03-13T17:13:37.951754+07:00,Hà Nội,70,Overcast,15 km/h,89 %,24°C,1,19 µg/m³,45 µg/m³,9 ppb,16 ppb,6 ppb,153 ppb
2025-03-13T18:10:51.733833+07:00,Hà Nội,70,Overcast,15 km/h,89 %,24°C,1,19 µg/m³,45 µg/m³,9 ppb,16 ppb,6 ppb,153 ppb
2025-03-13T19:23:41.046330+07:00,Hà Nội,64,Overcast,21 km/h,94 %,23°C,0,16 µg/m³,42 µg/m³,9 ppb,19 ppb,4 ppb,180 ppb
2025-03-13T20:21:46.581988+07:00,Hà Nội,67,Overcast,21 km/h,94 %,23°C,0,18 µg/m³,45 µg/m³,8 ppb,18 ppb,6 ppb,187 ppb
2025-03-13T21:12:08.882859+07:00,Hà Nội,69,Mist,17 km/h,94 %,23°C,0,19 µg/m³,46 µg/m³,8 ppb,17 ppb,4 ppb,153 ppb
2025-03-13T22:13:57.609430+07:00,Hà Nội,76,Mist,17 km/h,94 %,23°C,0,23 µg/m³,49 µg/m³,8 ppb,17 ppb,4 ppb,148 ppb
2025-03-13T23:15:25.275041+07:00,Hà Nội,88,Overcast,17 km/h,94 %,23°C,0,28 µg/m³,49 µg/m³,7 ppb,21 ppb,4 ppb,123 ppb
2025-03-14T00:10:17.693377+07:00,Hà Nội,88,Overcast,17 km/h,94 %,23°C,0,28 µg/m³,49 µg/m³,7 ppb,21 ppb,4 ppb,123 ppb
2025-03-14T01:16:38.315305+07:00,Hà Nội,93,Light drizzle,13 km/h,94 %,23°C,0,31 µg/m³,49 µg/m³,9 ppb,16 ppb,5 ppb,161 ppb
2025-03-14T02:10:13.473603+07:00,Hà Nội,93,Light drizzle,13 km/h,94 %,23°C,0,31 µg/m³,49 µg/m³,9 ppb,16 ppb,5 ppb,161 ppb
2025-03-14T03:14:11.714456+07:00,Hà Nội,93,Light drizzle,11 km/h,94 %,23°C,0,32 µg/m³,56 µg/m³,10 ppb,18 ppb,5 ppb,246 ppb
2025-03-14T04:11:36.525396+07:00,Hà Nội,93,Light drizzle,11 km/h,94 %,23°C,0,32 µg/m³,56 µg/m³,10 ppb,18 ppb,5 ppb,246 ppb
2025-03-14T05:11:14.912266+07:00,Hà Nội,93,Light drizzle,11 km/h,94 %,23°C,0,32 µg/m³,56 µg/m³,10 ppb,18 ppb,5 ppb,246 ppb
2025-03-14T06:11:40.723501+07:00,Hà Nội,91,Mist,12 km/h,94 %,23°C,0,31 µg/m³,54 µg/m³,10 ppb,17 ppb,5 ppb,226 ppb
2025-03-14T07:57:30.951534+07:00,Hà Nội,81,Overcast,12 km/h,94 %,23°C,0,25 µg/m³,48 µg/m³,7 ppb,16 ppb,7 ppb,130 ppb
2025-03-14T09:19:51.562237+07:00,Hà Nội,78,Mist,11 km/h,94 %,23°C,0,23 µg/m³,48 µg/m³,7 ppb,17 ppb,4 ppb,176 ppb
2025-03-14T10:23:18.112108+07:00,Hà Nội,84,Mist,11 km/h,94 %,23°C,0,26 µg/m³,49 µg/m³,7 ppb,19 ppb,5 ppb,190 ppb
